block,date_time,eth_amount,usd_redemptions
341968454,2024-05-17 14:27:22,36933.69409142656,12189.66068602105
342068455,2024-05-18 04:20:42,36933.69409142656,12189.66068602105
342168456,2024-05-18 18:14:03,36933.69409142656,12189.66068602105
342268457,2024-05-19 08:07:28,36952.61229208158,12195.51479332856
342368458,2024-05-19 22:00:56,36952.61229208158,12195.51479332856
342468459,2024-05-20 11:54:17,36952.61229208158,12195.51479332856
342568460,2024-05-21 01:47:38,36965.82483853349,12199.730002640486
342668461,2024-05-21 15:40:59,36965.82483853349,12199.730002640486
342768462,2024-05-22 05:34:20,36965.82483853349,12199.730002640486
342868463,2024-05-22 19:27:46,36965.82483853349,12199.730002640486
342968464,2024-05-23 09:21:06,36965.82483853349,12199.730002640486
343068465,2024-05-23 23:14:33,36965.82483853349,12199.730002640486
343168466,2024-05-24 13:08:22,36965.82483853349,12199.730002640486
343268467,2024-05-25 03:01:42,36965.82483853349,12199.730002640486
343368468,2024-05-25 16:56:03,36975.67965483618,12202.737262408808
343468469,2024-05-26 06:49:23,36975.67965483618,12202.737262408808
343568470,2024-05-26 20:42:46,36975.67965483618,12202.737262408808
343668471,2024-05-27 10:36:07,36986.07361674087,12205.857186273925
343768472,2024-05-28 00:29:27,36986.07361674087,12205.857186273925
343868473,2024-05-28 14:22:49,37078.60536880397,12233.528687943624
343968474,2024-05-29 04:16:11,37078.60536880397,12233.528687943624
344068475,2024-05-29 18:09:38,37120.47441029267,12245.846406194583
344168476,2024-05-30 08:03:12,37180.225629288856,12263.12919143285
344268477,2024-05-30 21:56:39,37346.97216804819,12311.359916546357
344368478,2024-05-31 11:49:59,37402.05229560029,12326.655705351752
344468479,2024-06-01 01:43:20,37437.27191464164,12336.34830806783
344568480,2024-06-01 15:36:41,37488.072272934674,12350.32880258115
344668481,2024-06-02 05:30:45,37488.072272934674,12350.32880258115
344768482,2024-06-02 19:24:06,37488.072272934674,12350.32880258115
344868483,2024-06-03 09:17:26,37488.08314510502,12350.33165893678
344968484,2024-06-03 23:11:18,37488.08314510502,12350.33165893678
345068485,2024-06-04 13:05:08,37488.08314510502,12350.33165893678
345168486,2024-06-05 02:58:40,37488.08314510502,12350.33165893678
345268487,2024-06-05 16:52:06,37488.08314510502,12350.33165893678
345368488,2024-06-06 06:45:27,37488.08314510502,12350.33165893678
345468489,2024-06-06 20:38:50,37488.08314510502,12350.33165893678
345568490,2024-06-07 10:33:22,37488.08314510502,12350.33165893678
345668491,2024-06-08 00:27:55,37488.08314510502,12350.33165893678
345768492,2024-06-08 14:21:15,37499.454206197195,12353.38882164894
345868493,2024-06-09 04:14:36,37526.20554451804,12360.350483341952
345968494,2024-06-09 18:07:57,37705.674431458494,12407.054751379548
346068495,2024-06-10 08:01:17,37705.674431458494,12407.054751379548
346168496,2024-06-10 21:54:38,37804.42631147653,12431.871678868363
346268497,2024-06-11 11:47:58,38376.0183563672,12571.52041065335
346368498,2024-06-12 01:41:25,38634.17405421527,12626.463025435522
346468499,2024-06-12 15:34:50,39138.23911823689,12733.741899651926
346568500,2024-06-13 05:28:17,39179.18591375951,12742.828924848496
346668501,2024-06-13 19:21:37,39206.89876229932,12748.97903622439
346768502,2024-06-14 09:15:04,39261.01332148452,12760.675762814111
346868503,2024-06-14 23:08:25,39341.96129173153,12778.172464075822
346968504,2024-06-15 13:01:45,39341.96129173153,12778.172464075822
347068505,2024-06-16 02:55:06,39341.96129173153,12778.172464075822
347168506,2024-06-16 16:48:28,39341.96129173153,12778.172464075822
347268507,2024-06-17 06:41:48,39341.96129173153,12778.172464075822
347368508,2024-06-17 20:35:09,39438.966944690415,12801.092352089943
347468509,2024-06-18 10:28:29,39714.78547976793,12862.131355542697
347568510,2024-06-19 00:21:50,39764.46089378107,12872.560958450053
347668511,2024-06-19 14:15:10,39772.25071074439,12874.196469683577
347768512,2024-06-20 04:08:31,39772.25071074439,12874.196469683577
347868513,2024-06-20 18:01:51,39788.282181626,12877.660309908748
347968514,2024-06-21 07:55:12,39788.282181626,12877.660309908748
348068515,2024-06-21 21:48:39,39898.61942174517,12901.327400331542
348168516,2024-06-22 11:41:59,39969.31313965977,12915.732043379909
348268517,2024-06-23 01:35:20,39987.50501100241,12919.411554358803
348368518,2024-06-23 15:28:40,39987.50501100241,12919.411554358803
348468519,2024-06-24 05:22:01,40139.20498851535,12950.04228411746
348568520,2024-06-24 19:15:21,40206.059042895016,12963.54122133912
348668521,2024-06-25 09:08:42,40235.41538650134,12969.296357877747
348768522,2024-06-25 23:02:03,40282.61699966539,12978.549953361076
348868523,2024-06-26 12:55:23,40556.722019363624,13031.732983988515
348968524,2024-06-27 02:48:44,40599.93420024267,13039.97887356794
349068525,2024-06-27 16:42:04,40602.26049409413,13040.422784563363
349168526,2024-06-28 06:35:25,40602.26049409413,13040.422784563363
349268527,2024-06-28 20:28:46,40791.03971281095,13080.082230479156
349368528,2024-06-29 10:22:06,40979.54455368751,13121.854455582148
349468529,2024-06-30 00:15:27,40979.54455368751,13121.854455582148
349568530,2024-06-30 14:08:54,41143.191352831986,13158.659098875753
349668531,2024-07-01 04:02:14,41144.41336007762,13158.924423179034
349768532,2024-07-01 17:55:35,41208.02676510558,13172.736274482468
349868533,2024-07-02 07:49:40,41208.02676510558,13172.736274482468
349968534,2024-07-02 21:43:00,41249.676251434554,13181.868538807306
350068535,2024-07-03 11:36:21,41568.91347817016,13251.28518580426
350168536,2024-07-04 01:29:42,41642.915166794286,13265.778397643277
350268537,2024-07-04 15:23:02,41726.672370793785,13282.1822246799
350368538,2024-07-05 05:16:23,41779.81883340654,13292.446446504851
350468539,2024-07-05 19:09:43,42226.46228252272,13378.707078219795
350568540,2024-07-06 09:03:04,42250.27882524736,13383.065707283293
350668541,2024-07-06 22:56:24,42250.27882524736,13383.065707283293
350768542,2024-07-07 12:49:45,42250.27882524736,13383.065707283293
350868543,2024-07-08 02:43:06,42251.997387496034,13383.4132970325
350968544,2024-07-08 16:36:26,42251.997387496034,13383.4132970325
351068545,2024-07-09 06:29:47,42251.997387496034,13383.4132970325
351168546,2024-07-09 20:23:07,42251.997387496034,13383.4132970325
351268547,2024-07-10 10:16:28,42257.7960037161,13384.780909787787
351368548,2024-07-11 00:09:48,42257.7960037161,13384.780909787787
351468549,2024-07-11 14:03:09,42257.7960037161,13384.780909787787
351568550,2024-07-12 03:56:29,42270.170013297895,13387.568068908104
351668551,2024-07-12 17:49:50,42371.90761311637,13410.483751762467
351768552,2024-07-13 07:43:10,42380.121649800865,13412.293540509085
351868553,2024-07-13 21:36:36,42396.3663701016,13415.87272004302
351968554,2024-07-14 11:30:01,42456.37160468991,13428.93628402614
352068555,2024-07-15 01:23:22,42465.47891982389,13430.852476585893
352168556,2024-07-15 15:16:42,42465.47891982389,13430.852476585893
352268557,2024-07-16 05:10:03,42465.47891982389,13430.852476585893
352368558,2024-07-16 19:03:23,42465.77087721515,13430.918234748166
352468559,2024-07-17 08:56:44,42487.50228283568,13435.355738382852
