block,date_time,reward,usd_rewards
349152900,2024-06-28 04:25:12,2.702500934528856e+21,2702.500934528856
349252900,2024-06-28 18:18:32,2.883528749739461e+21,2883.5287497394606
349352900,2024-06-29 08:11:52,2.893129173937094e+21,2893.129173937094
349452900,2024-06-29 22:05:13,2.9593792408345887e+21,2959.379240834589
349552900,2024-06-30 11:58:33,2.967381779912875e+21,2967.381779912875
349652900,2024-07-01 01:51:59,3.046804776076974e+21,3046.804776076974
349752900,2024-07-01 15:45:19,3.121204891143892e+21,3121.204891143892
349852900,2024-07-02 05:39:23,3.133346876839795e+21,3133.346876839795
349952900,2024-07-02 19:32:43,3.2005571040422747e+21,3200.5571040422747
350052900,2024-07-03 09:26:04,3.2696489512408994e+21,3269.6489512408994
350152900,2024-07-03 23:19:24,3.334464698056251e+21,3334.464698056251
350252900,2024-07-04 13:12:44,3.3699243514219987e+21,3369.924351421999
350352900,2024-07-05 03:06:04,3.4380010961418065e+21,3438.0010961418066
350452900,2024-07-05 16:59:24,3.71204580176952e+21,3712.0458017695196
350552900,2024-07-06 06:52:44,3.7365220549755153e+21,3736.5220549755154
350652900,2024-07-06 20:46:04,3.7628030101156376e+21,3762.803010115638
350752900,2024-07-07 10:39:24,3.792592093006304e+21,3792.592093006304
350852900,2024-07-08 00:32:44,3.8257368910907494e+21,3825.7368910907494
350952900,2024-07-08 14:26:04,4.1477879221019623e+21,4147.787922101962
351052900,2024-07-09 04:19:24,4.1615396410402286e+21,4161.539641040228
351152900,2024-07-09 18:12:44,4.298326169307858e+21,4298.3261693078575
351252900,2024-07-10 08:06:04,4.329883771770564e+21,4329.883771770564
351352900,2024-07-10 21:59:24,4.3656240682741263e+21,4365.624068274126
351452900,2024-07-11 11:52:44,4.3764063401324063e+21,4376.4063401324065
351552900,2024-07-12 01:46:04,4.4207822162748113e+21,4420.782216274812
351652900,2024-07-12 15:39:24,4.5392179117558894e+21,4539.21791175589
351752900,2024-07-13 05:32:44,4.561157468845951e+21,4561.157468845951
351852900,2024-07-13 19:26:05,4.635104609280436e+21,4635.104609280436
351952900,2024-07-14 09:19:34,4.6615209089534017e+21,4661.520908953402
352052900,2024-07-14 23:12:54,4.728090132262724e+21,4728.090132262723
352152900,2024-07-15 13:06:14,4.86202043961345e+21,4862.0204396134495
352252900,2024-07-16 02:59:34,4.888753282567607e+21,4888.753282567606
352352900,2024-07-16 16:52:54,4.97649138018431e+21,4976.4913801843095
